DATES;T107_C_3_Avg;Rain_mm_Tot;AirTC_Avg;RH;Slr_kW_Avg;Slr_MJ_Tot
01/01/2017 00:00;29.08;0;22.34;78.44;0;0
01/01/2017 01:00;28.58;0;21.66;74.03;0;0
01/01/2017 02:00;28.09;0;21.49;71.87;0;0
01/01/2017 03:00;27.64;0;21.61;69.98;0;4.024482E-005
01/01/2017 04:00;27.23;0;21.49;69.51;0;4.024509E-005
01/01/2017 05:00;26.86;0;21.57;70.21;0;0
01/01/2017 06:00;26.51;0;21.26;71.57;0.003;0.01102711
01/01/2017 07:00;26.23;0;22.59;59.67;0.051;0.184156
01/01/2017 08:00;26.19;0;27.56;57.16;0.228;0.8190538
01/01/2017 09:00;26.47;0;28.57;56.51;0.466;1.677329
01/01/2017 10:00;27.04;0;29.18;51.86;0.6300001;2.268102
01/01/2017 11:00;28;0;29.67;53.39;0.782;2.815262
01/01/2017 12:00;28.94;0;29.98;54.57;0.8660001;3.118442
01/01/2017 13:00;29.92;0;29.47;61.87;0.628;2.262589
01/01/2017 14:00;30.76;0;29.39;58.17;0.609;2.193794
01/01/2017 15:00;31.34;0;29.34;60.73;0.558;2.007041
01/01/2017 16:00;31.47;0;27.63;64.74001;0.147;0.5299556
01/01/2017 17:00;31.05;0;27.09;67.48;0.157;0.5659285
01/01/2017 18:00;30.71;0;26.41;65.13;0.156;0.5606574
01/01/2017 19:00;30.39;0;26.56;64.58;0.07300001;0.2635729
01/01/2017 20:00;29.96;0;25.38;70.1;0;0.001086214
01/01/2017 21:00;29.54;0;24.66;72.66;0;0
01/01/2017 22:00;29.11;0;23;81.4;0;0
01/01/2017 23:00;28.69;0;22.91;77.21;0;0
02/01/2017 00:00;28.31;0;22.67;73.68;0;0
02/01/2017 01:00;27.91;0;22.06;75.48;0;0
02/01/2017 02:00;27.53;0;22.11;75.41;0;0
02/01/2017 03:00;27.19;0;22.02;75.67001;0;0
02/01/2017 04:00;26.87;0;22.04;74.54;0;0
02/01/2017 05:00;26.56;0;21.95;75.2;0;0
02/01/2017 06:00;26.3;0;21.82;76.63;0.003;0.01006102
02/01/2017 07:00;26.09;0;23.22;68.6;0.05;0.1812481
02/01/2017 08:00;26.13;0;27.76;60.27;0.219;0.7892991
02/01/2017 09:00;26.53;0;28.85;62.15;0.411;1.480712
02/01/2017 10:00;27.19;0;29.56;57.46;0.561;2.018141
02/01/2017 11:00;27.98;0;29.65;58.93;0.495;1.781237
02/01/2017 12:00;28.84;0;30.67;54.67;0.782;2.815021
02/01/2017 13:00;29.95;0;30.66;54.67;0.946;3.404213
02/01/2017 14:00;31.46;0;30.14;60.43;0.886;3.18953
02/01/2017 15:00;32.38;0;30.74;58.65;0.855;3.076744
02/01/2017 16:00;32.74;0;30.34;58.35;0.691;2.488423
02/01/2017 17:00;32.72;0;29.6;64.57;0.511;1.837897
02/01/2017 18:00;32.41;0;28.76;65.24001;0.319;1.149732
02/01/2017 19:00;31.9;0;27.52;74.47;0.109;0.3920724
02/01/2017 20:00;31.32;0;26.31;76.33;0.001;0.004906768
02/01/2017 21:00;30.78;0;25.68;76.05;0;0
02/01/2017 22:00;30.35;0;24.52;88.6;0;0
02/01/2017 23:00;29.97;0;23.83;87.4;0;0
03/01/2017 00:00;29.57;0;22.19;85.9;0;0
03/01/2017 01:00;29.04;0;21.55;85.7;0;4.024444E-005
03/01/2017 02:00;28.54;0;21.39;82.4;0;0
03/01/2017 03:00;28.09;0;21.16;81.1;0;4.024509E-005
03/01/2017 04:00;27.66;0;20.86;82.1;0;4.024478E-005
03/01/2017 05:00;27.27;0;21.13;68.31001;0;0
03/01/2017 06:00;26.91;0;21.12;63.28;0.003;0.01046365
03/01/2017 07:00;26.57;0;22.34;54.64;0.05;0.180861
03/01/2017 08:00;26.45;0;27.03;55.74;0.206;0.7415833
03/01/2017 09:00;26.7;0;29.07;57.98;0.415;1.492362
03/01/2017 10:00;27.26;0;29.19;56.38;0.596;2.1463
03/01/2017 11:00;28.24;0;29.74;53.03;0.698;2.512644
03/01/2017 12:00;29.16;0;30.33;48.3;0.776;2.794924
03/01/2017 13:00;30.2;0;31.16;49.06;0.873;3.142022
03/01/2017 14:00;31.71;0;31.04;52.17;0.9450001;3.402646
03/01/2017 15:00;32.7;0;30.85;49.85;0.849;3.054798
03/01/2017 16:00;33.2;0;30.66;47.76;0.693;2.495919
03/01/2017 17:00;33.33;0;30.49;50.79;0.524;1.884815
03/01/2017 18:00;33.21;0;29.95;54.35;0.319;1.148796
03/01/2017 19:00;32.73;0;28.35;64.91;0.105;0.378743
03/01/2017 20:00;32.07;0;25.67;74.27;0.001;0.003498951
03/01/2017 21:00;31.33;0;23.69;80.6;0;0
03/01/2017 22:00;30.66;0;22.72;79.2;0;0
03/01/2017 23:00;30.01;0;22.21;78.69;0;0
04/01/2017 00:00;29.39;0;21.79;77.2;0;4.024509E-005
04/01/2017 01:00;28.84;0;21.54;74.87;0;0
04/01/2017 02:00;28.36;0;21.31;71.64;0;4.024509E-005
04/01/2017 03:00;27.92;0;21.19;72.42001;0;0
04/01/2017 04:00;27.51;0;21.01;71.72;0;0
04/01/2017 05:00;27.11;0;20.67;68.13;0;0
04/01/2017 06:00;26.76;0;20.88;69.78;0.003;0.009377105
04/01/2017 07:00;26.45;0;22.27;64.12;0.045;0.1624289
04/01/2017 08:00;26.4;0;26.98;58.03;0.154;0.5535725
04/01/2017 09:00;26.7;0;28.6;50.94;0.437;1.572479
04/01/2017 10:00;27.3;0;29.15;52.92;0.604;2.173165
04/01/2017 11:00;28.27;0;30.48;44.24;0.767;2.760705
04/01/2017 12:00;29.33;0;31.2;45.45;0.781;2.812648
04/01/2017 13:00;30.22;0;30.5;50.89;0.529;1.904113
04/01/2017 14:00;30.66;0;29.16;59.19;0.396;1.424852
04/01/2017 15:00;30.64;0;28.03;56.5;0.332;1.196682
04/01/2017 16:00;30.57;0;27.84;63.49;0.275;0.9890772
04/01/2017 17:00;30.54;0;27.53;66.91;0.162;0.5843739
04/01/2017 18:00;30.28;0;27.19;68.47;0.164;0.5889971
04/01/2017 19:00;30.02;0;26.44;73.76;0.058;0.2097061
04/01/2017 20:00;29.7;0;24.98;86.3;0.001;0.00261501
04/01/2017 21:00;29.31;0;22.61;85.5;0;0
04/01/2017 22:00;28.87;0;22.21;81.2;0;0
04/01/2017 23:00;28.4;0;21.48;83.9;0;0
05/01/2017 00:00;27.94;0;21.09;80.1;0;4.024509E-005
05/01/2017 01:00;27.52;0;21.23;74.68;0;0
05/01/2017 02:00;27.16;0;21.42;75.61;0;8.049018E-005
05/01/2017 03:00;26.8;0;21.22;71.5;0;0
