Id;X;Y;Z;A;B;C;Sensor
1;-148.68;93.5;-133.17;-77.21;0.67;5.22;4
2;-136.71;62.2;-139.68;-172.53;-1.94;15.11;5
3;-111.26;25.89;-135.48;173.51;-19.1;23.12;6
4;70.14;-224.82;-149.83;62.09;-25.8;-20.58;30
5;76.08;-191.77;-150.53;6.23;-13.09;12.68;31
6;76.66;-146.81;-190.99;37.21;17.94;8.62;32
7;238.33;-31.44;-127.51;85.31;-34.95;9.15;27
8;216.7;-4.54;-132.74;12.38;-28.66;9.86;28
9;208.77;27.35;-123.77;25.46;-22.29;13.75;29
10;83.84;185.97;-151.76;-106.02;-15.39;7.12;1
11;73.69;163.27;-149.35;-48.95;-55.5;-15.03;25
12;65.7;123.31;-164.55;-27.61;12.99;-19.37;3
13;-183.67;48.72;-265.25;-39.49;22.08;-29.72;21
14;-169.91;28.97;-261.47;55.1;26.44;-64.99;22
15;-157.8;11.3;-239.41;-46.93;21.62;-66.41;23
16;67.16;-219.92;-302.11;61.3;-18.25;-3.52;24
17;53.41;-208.55;-273.4;27.69;-4.13;38.74;2
18;48.41;-179.83;-248.37;47.35;-10.16;53.29;26
19;248.64;1.1;-301.53;96.66;7.09;-21.65;18
20;229.51;9.09;-281.71;60.22;37.81;28.51;19
21;217.99;32.76;-251.13;87.09;10.65;50.39;20
22;93.07;141.38;-311;-103.6;4.04;-75.38;11
23;94.18;118.69;-279.89;-95.9;1.9;-89.9;12
24;99.21;104.96;-239.65;-96.93;32;-3.63;13
25;-22.27;-64.54;-347.43;-123.15;49.15;35.21;15
26;26.39;-56.61;-332;-22.81;47.63;75.06;16
27;11.54;-116.62;-287.73;-78.83;32.49;67.95;17
28;-46.53;-18.09;-265.7;52.35;6.85;5.86;14
29;-40.53;-86.38;-158.86;-76.25;-12.15;19.14;7
30;55.85;-49.81;-150.11;-92.66;-1.79;-7.98;9
31;-27.09;-2.62;-83.24;-61.45;-2.58;7.08;8
32;117.51;74.08;-147.46;-18.75;1.48;-6.03;10
